sk_tipoViolacao,violacao
c54f971e-a50a-49af-9b38-b9c084820b24,VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>FISICA.INSUBSISTENCIA MATERIAL>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.ASSEDIO MORAL>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>AGRESSAO>DIREITO>LIBERDADE.FALTA DE ACESSIBILIDADE>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA FISICA
3fc0ef07-278b-4a7b-85b9-643fb03f3c5d,VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>CRIME>VIDA.TENTATIVA DE FEMINICIDIO>VIOLENCIA>AGRESSAO>HONRA.ASSEDIO MORAL OBJETIVO>VIOLENCIA>AGRESSAO>DIREITO>LIBERDADE.AUTONOMIA DE VONTADE
c09525bc-3598-4125-a5fd-8c04d7dea502,VIOLENCIA>FISICA.LESAO CORPORAL>VIOLENCIA>FISICA.AGRESSAO>VIAS DE FATO>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>AGRESSAO>HONRA.DIFAMACAO>VIOLENCIA>AGRESSAO>HONRA.INJURIA>VIOLENCIA>AGRESSAO>HONRA.CALUNIA>VIOLENCIA>AGRESSAO>DIREITO>LIBERDADE.CARCERE PRIVADO>VIOLENCIA>AGRESSAO>DIREITO>LIBERDADE.AUTONOMIA DE VONTADE>VIOLENCIA>VIOLACOES>GERAIS.AGRESSOES QUE VIOLAM O DIREITO A IGUALDADE FORMAL
9aefacdd-02ab-4d44-9a3d-b950c7f95b51,VIOLENCIA>FISICA.EXPOSICAO DE RISCO A SAUDE>VIOLENCIA>FISICA.TORTURA FISICA>VIOLENCIA>FISICA.VIOLENCIA OBSTETRICA>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA FISICA
305d4305-1f09-4020-a283-da6092773099,VIOLENCIA>FISICA.LESAO CORPORAL>VIOLENCIA>FISICA.AGRESSAO>VIAS DE FATO>VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>PSICOLOGICA.ASSEDIO MORAL>VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>AGRESSAO>HONRA.DIFAMACAO>VIOLENCIA>AGRESSAO>HONRA.CALUNIA>VIOLENCIA>AGRESSAO>HONRA.INJURIA>VIOLENCIA>AGRESSAO>DIREITO>LIBERDADE.AUTONOMIA DE VONTADE>VIOLENCIA>VIOLACOES>GERAIS.VIOLENCIA PATRIMONIAL
f2c99dcd-b93e-4eab-83c9-914de11db90f,VIOLENCIA>FISICA.AGRESSAO>VIAS DE FATO>VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>FISICA.LESAO CORPORAL>VIOLENCIA>FISICA.EXPOSICAO DE RISCO A SAUDE>VIOLENCIA>FISICA.OUTROS>VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO
a4e1af52-1a65-4482-8443-f596df132114,VIOLENCIA>FISICA.AGRESSAO>VIAS DE FATO>VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>PSICOLOGICA.TORTURA PSI QUICA>VIOLENCIA>AGRESSAO>HONRA.INJURIA
8533b5e4-f4ce-4427-b366-4fe58b1f24c7,VIOLENCIA>FISICA.AGRESSAO>VIAS DE FATO>VIOLENCIA>FISICA.LESAO CORPORAL>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>CRIME>VIDA.TENTATIVA DE FEMINICIDIO>VIOLENCIA>AGRESSAO>HONRA.CALUNIA>VIOLENCIA>AGRESSAO>HONRA.DIFAMACAO>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA PSIQUICA>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA FISICA
285f7187-6c11-42a4-87dd-0ba4f2775c8a,VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>FISICA.AGRESSAO>VIAS DE FATO>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>PSICOLOGICA.ASSEDIO MORAL>VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>PSICOLOGICA.ALIENACAO PARENTAL>VIOLENCIA>AGRESSAO>HONRA.INJURIA>VIOLENCIA>AGRESSAO>HONRA.ASSEDIO MORAL OBJETIVO>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA PSIQUICA
ff667d6f-9415-4835-bbd4-a39aaee233f9,VIOLENCIA>FISICA.SITUACAO DE RUA> ABANDONO MATERIAL>VIOLENCIA>FISICA.EXPOSICAO DE RISCO A SAUDE>VIOLENCIA>FISICA.INSUBSISTENCIA MATERIAL>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA
