sk_Datadecadastro,Datadecadastro,ANO,MES,DIA
0e03d531-a0e4-4e32-b8dd-38558a1a9d80,05/12/2019,2019,12,5
a81db7df-1701-4b5d-825f-f8d4e8fe4a36,26/01/2020,2020,1,26
4ea080de-0c8a-4719-9d91-2613a8c65b6e,23/02/2020,2020,2,23
9387e8db-dce6-4624-922b-fe05ee232156,02/04/2020,2020,4,2
a037002e-00b3-4c79-b32a-34fa7aefbddb,21/05/2020,2020,5,21
5f8d1abb-2141-4a45-833d-fd03b462578e,11/06/2020,2020,6,11
c6229cd1-675d-44be-8a75-2d259d7b8871,24/07/2020,2020,7,24
60bac8a3-6270-4a4a-9cbe-7471dc5f07ad,02/08/2020,2020,8,2
1167a52a-af73-41b7-94f0-b88f4daf3287,31/08/2020,2020,8,31
7bfcf395-4928-41ea-b796-562442f802df,18/11/2020,2020,11,18
c04aa077-bd79-4098-9a47-e6092c68e6f3,15/01/2021,2021,1,15
54bc0734-6be3-48d0-9354-9935b9baf0aa,22/01/2021,2021,1,22
63b1b2fa-fca1-4267-af0b-85ae73953901,23/01/2021,2021,1,23
77f7b4ed-d0b3-4cc5-9283-96fd3261afc7,08/02/2021,2021,2,8
05cf8ca4-b1c8-4c50-8386-42817b8d224d,26/05/2021,2021,5,26
6ac8f6f4-f672-4254-a6ae-65fe42c76457,13/06/2021,2021,6,13
7934c773-a7fc-4a65-ad4e-7fbebaa05e8f,17/11/2021,2021,11,17
03a42463-00ed-466e-a0b0-6ff2ff552d8b,26/11/2021,2021,11,26
cb21c442-fc11-4ac1-a4bb-63cc816fa7b9,02/12/2021,2021,12,2
86e2c91d-c5e1-4f0b-8ed2-ad54f4124d22,15/03/2022,2022,3,15
63e93d84-6f9d-47d9-8ce3-9aadf6123074,06/05/2022,2022,5,6
f59643e0-486a-401c-a83a-7d2790a8b108,08/06/2022,2022,6,8
d6444ac0-2312-4217-82fd-64e6a1ad8b4c,20/07/2022,2022,7,20
290fb147-1d18-4b7a-ae3e-6c3673bda156,22/07/2022,2022,7,22
34d688ca-c6e7-43c2-a2c5-0b353bb9dc1c,25/08/2022,2022,8,25
9226271c-4d93-4d9c-acda-b093b03d67ee,12/11/2022,2022,11,12
608561ce-3134-4f07-b9cf-6cd58fdb2b22,30/11/2022,2022,11,30
8fc0a820-b2d1-41c0-8cda-d9db8566ebc3,29/12/2022,2022,12,29
23ccb4c0-a841-4f48-b1ba-152ae0fe2b2d,12/01/2023,2023,1,12
d0987f5f-b57c-4d82-b85e-b0bf054fe53b,17/08/2023,2023,8,17
a2599f43-c933-471b-88f0-6f3b2de9b4cf,28/08/2023,2023,8,28
6cfc063b-5d49-413c-abff-c9a756c4e689,22/09/2023,2023,9,22
bdfcff69-5ac0-43e5-8eff-95939cd12d0f,11/02/2019,2019,2,11
6045d904-838a-4659-b4b3-e073a05e6af1,15/03/2019,2019,3,15
bd09dabd-672d-48ba-a4d7-e3ac70e3c006,17/03/2019,2019,3,17
71976b0a-e17a-41fe-b60d-e109c8f4fbde,04/04/2019,2019,4,4
70329005-e4ca-48c2-b09e-af9556566d80,06/05/2019,2019,5,6
4d7a1a2a-6dee-44b7-8ad4-ca4930a2df4d,25/08/2019,2019,8,25
c1145181-3660-4079-8746-76b0eb5a1385,22/10/2019,2019,10,22
5b0050f2-cb4f-43ef-b6a2-9550cf1fe817,27/10/2019,2019,10,27
73d5dde5-c34d-462a-95ae-6d6faba99bd9,09/11/2019,2019,11,9
96b136b1-53f4-4c1a-a91c-13e761b2b103,02/03/2020,2020,3,2
7dea346a-efe7-4b10-ac72-d3a4e3bf56f6,02/07/2020,2020,7,2
d2ffee6a-fc35-4d31-8567-b881e1da2bab,05/09/2020,2020,9,5
3b3590c0-c950-4364-b7c0-57bf340acbdb,08/10/2020,2020,10,8
d48ccf86-5c40-4145-83e7-b2b5b7494770,12/10/2020,2020,10,12
c2938554-6a8d-45e3-95c8-5a7d28e994ca,28/11/2020,2020,11,28
d33f30f3-c15b-45df-a729-1c52a9510787,13/12/2020,2020,12,13
ee485253-a7d6-4af0-84e7-07dcdb3ffdd5,31/12/2020,2020,12,31
56a45cd7-1ed9-481c-8e6c-79479a7f5d44,06/03/2021,2021,3,6
624b3796-e718-43de-b960-dd8b560af759,11/03/2021,2021,3,11
2b7f5360-b0f9-4c81-8fe5-5fe6f20ddc79,17/03/2021,2021,3,17
00606495-5a2e-4391-a29e-a68885516105,07/04/2021,2021,4,7
604d392c-5515-49ab-836b-a64758059d08,18/07/2021,2021,7,18
2937a5ce-e384-450f-8c14-b8e5a1380db1,17/08/2021,2021,8,17
6904ceee-15b5-4747-83d0-5972ecf345b3,26/08/2021,2021,8,26
6d464f35-80a8-4050-b7be-b0ea3e55288e,04/09/2021,2021,9,4
7186e1ad-79e7-41ff-aa84-ac0f8d650d2f,27/09/2021,2021,9,27
e7c869aa-eaf5-418b-8adf-5356950af59c,19/10/2021,2021,10,19
78290d95-d3b0-4a0d-b144-770e1b2cb834,19/03/2022,2022,3,19
44cdc4da-af49-4f1e-bfdb-475768749a79,08/04/2022,2022,4,8
42562d46-fb56-4974-9036-49d576b4bb62,25/06/2022,2022,6,25
2118c8ab-49a3-49e7-81db-4c769a8247fb,24/07/2022,2022,7,24
2990d063-5e53-47b3-a72c-79499327314a,31/12/2022,2022,12,31
